,age,Total Optimism,Total Mastery,Total positive affect,Total negative affect,tlifesat,tpstress,Total Self esteem,Total social desirability,Total PCOISS
360,38.0,24.0,23.0,86.0,19.0,22.0,25.0,36.0,5.0,66.0
361,29.0,25.0,21.0,32.0,15.0,16.0,27.0,36.0,5.0,60.0
362,62.0,21.0,22.0,32.0,15.0,19.0,27.0,40.0,7.0,68.0
363,41.0,26.0,28.0,35.0,25.0,27.0,30.0,38.0,9.0,86.0
364,31.0,19.0,19.0,31.0,20.0,22.0,31.0,36.0,5.0,48.0
365,41.0,20.0,24.0,39.0,15.0,26.0,22.0,38.0,3.0,48.0
366,24.0,19.0,19.0,31.0,24.0,27.0,27.0,35.0,4.0,52.0
367,48.0,23.0,25.0,39.0,16.0,33.0,22.0,22.0,9.0,67.0
368,27.0,24.0,22.0,36.0,13.0,14.0,23.0,33.0,5.0,75.0
369,61.0,27.0,26.0,40.0,16.0,31.0,24.0,38.0,5.0,72.0
370,55.0,27.0,28.0,38.0,14.0,27.0,22.0,39.0,3.0,78.0
371,37.0,29.0,27.0,31.0,15.0,35.0,24.0,35.0,5.0,81.0
372,22.0,21.0,22.0,32.0,15.0,25.0,23.0,39.0,4.0,67.0
373,47.0,24.0,20.0,86.0,25.0,27.0,29.0,34.0,3.0,51.0
374,42.0,29.0,27.0,38.0,14.0,23.0,24.0,40.0,7.0,50.0
375,47.0,21.0,23.0,34.0,15.0,21.0,22.0,29.0,8.0,62.0
376,50.0,21.0,17.0,39.0,21.0,14.0,27.0,30.0,7.0,53.0
377,19.0,26.0,26.0,39.0,18.0,27.0,23.0,27.0,3.0,65.0
378,37.0,27.0,27.0,86.0,17.0,22.0,26.0,39.0,9.0,64.0
379,37.0,22.0,22.0,38.0,22.0,28.0,26.0,27.0,4.0,70.0
380,35.0,27.0,23.0,34.0,19.0,23.0,23.0,38.0,3.0,67.0
381,33.0,16.0,21.0,33.0,14.0,18.0,24.0,40.0,6.0,54.0
382,22.0,17.0,24.0,31.0,25.0,24.0,29.0,38.0,6.0,67.0
383,20.0,19.0,20.0,86.0,17.0,22.0,28.0,35.0,9.0,53.0
384,18.0,22.0,24.0,86.0,23.0,28.0,30.0,34.0,6.0,55.0
385,31.0,30.0,27.0,34.0,14.0,30.0,25.0,23.0,9.0,71.0
386,44.0,18.0,24.0,39.0,16.0,31.0,23.0,31.0,9.0,64.0
387,40.0,24.0,25.0,35.0,19.0,25.0,23.0,39.0,8.0,67.0
388,45.0,21.0,19.0,86.0,20.0,23.0,28.0,21.0,9.0,62.0
389,36.0,26.0,22.0,86.0,18.0,20.0,27.0,38.0,2.0,52.0
390,31.0,17.0,17.0,37.0,22.0,15.0,26.0,37.0,8.0,58.0
391,32.0,23.0,24.0,31.0,17.0,16.0,28.0,35.0,4.0,79.0
393,42.0,23.0,25.0,32.0,16.0,26.0,27.0,24.0,6.0,72.0
394,29.0,23.0,23.0,38.0,17.0,24.0,23.0,38.0,6.0,65.0
395,31.0,19.0,22.0,35.0,18.0,26.0,23.0,37.0,2.0,72.0
396,27.0,24.0,25.0,32.0,16.0,29.0,24.0,25.0,5.0,50.0
397,31.0,21.0,22.0,33.0,15.0,14.0,24.0,37.0,6.0,53.0
398,78.0,27.0,17.0,33.0,15.0,26.0,24.0,36.0,8.0,78.0
399,27.0,21.0,22.0,36.0,18.0,28.0,28.0,38.0,3.0,54.0
400,28.0,17.0,21.0,33.0,17.0,24.0,28.0,35.0,7.0,54.0
401,42.0,27.0,21.0,33.0,15.0,29.0,25.0,35.0,6.0,70.0
402,42.0,18.0,12.0,33.0,15.0,20.0,25.0,37.0,3.0,43.0
403,34.0,23.0,24.0,36.0,15.0,30.0,23.0,35.0,6.0,66.0
404,21.0,27.0,20.0,34.0,23.0,35.0,30.0,32.0,6.0,59.0
405,33.0,22.0,25.0,34.0,15.0,18.0,24.0,23.0,4.0,58.0
406,28.0,25.0,25.0,36.0,16.0,25.0,23.0,31.0,5.0,66.0
407,23.0,20.0,25.0,38.0,18.0,24.0,26.0,31.0,3.0,66.0
408,21.0,20.0,26.0,31.0,18.0,19.0,25.0,40.0,1.0,59.0
409,38.0,21.0,24.0,32.0,20.0,20.0,25.0,37.0,8.0,64.0
410,21.0,19.0,17.0,37.0,21.0,23.0,26.0,32.0,9.0,65.0
411,22.0,24.0,23.0,34.0,22.0,20.0,26.0,35.0,4.0,63.0
412,28.0,22.0,23.0,37.0,20.0,25.0,25.0,37.0,5.0,57.0
413,45.0,21.0,25.0,36.0,22.0,19.0,28.0,39.0,8.0,44.0
414,23.0,18.0,25.0,37.0,17.0,32.0,26.0,37.0,3.0,63.0
415,23.0,17.0,21.0,86.0,22.0,20.0,28.0,24.0,3.0,46.0
416,25.0,20.0,21.0,86.0,19.0,11.0,28.0,28.0,2.0,53.0
417,35.0,27.0,26.0,31.0,23.0,27.0,29.0,37.0,4.0,73.0
418,21.0,20.0,23.0,37.0,17.0,23.0,25.0,37.0,1.0,67.0
419,40.0,18.0,20.0,34.0,16.0,27.0,25.0,30.0,2.0,44.0
420,35.0,29.0,20.0,35.0,16.0,30.0,25.0,35.0,5.0,68.0
422,48.0,18.0,24.0,37.0,19.0,19.0,26.0,36.0,8.0,82.0
423,54.0,22.0,20.0,33.0,20.0,24.0,29.0,36.0,3.0,49.0
424,36.0,24.0,20.0,33.0,22.0,23.0,27.0,31.0,10.0,67.0
425,48.0,21.0,20.0,31.0,21.0,19.0,29.0,37.0,5.0,59.0
426,35.0,18.0,20.0,33.0,22.0,16.0,29.0,21.0,3.0,54.0
427,67.0,23.0,17.0,35.0,17.0,20.0,25.0,27.0,7.0,59.0
428,47.0,23.0,19.0,33.0,19.0,27.0,28.0,35.0,2.0,54.0
429,21.0,22.0,21.0,35.0,19.0,26.0,25.0,37.0,4.0,65.0
